Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1072918,02/01/2018,"£38,857.00 ",MANCHESTER CITY COUNCIL,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025017,02/01/2018,"£21,036.51 ",INSPIREDSPACES ROCHDALE LTD,ARCHITECTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1072920,03/01/2018,"£148,429.00 ",JACKSON JACKSON AND SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph102391,03/01/2018,"£17,867.95 ",SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph102392,03/01/2018,"£327,779.00 ",PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,r1001748,03/01/2018,"£8,649.00 ",A B MARKETS,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1072960,04/01/2018,"£28,500.00 ",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1072985,04/01/2018,"£9,575.36 ",AVK SEG UK LTD,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph102400,04/01/2018,"£32,500.00 ",COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1022408,04/01/2018,"£5,600.00 ",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022412,04/01/2018,"£6,009.00 ",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015027,04/01/2018,"£8,827.43 ",SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006131,05/01/2018,"£5,000.00 ",ROCHDALE ONLINE LIMITED,ADVERTISING -STAFF,RESOURCES
Rochdale Borough Council,d1073043,08/01/2018,"£150,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073044,08/01/2018,"£147,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073045,08/01/2018,"£140,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073046,08/01/2018,"£135,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073047,08/01/2018,"£133,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073048,08/01/2018,"£130,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073049,08/01/2018,"£125,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073050,08/01/2018,"£120,000.00 ",ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073062,08/01/2018,"£10,256.00 ",A B MARKETS,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,e1025046,08/01/2018,"£21,248.00 ",OLDHAM COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025048,08/01/2018,"£15,556.00 ",OLDHAM COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph102411,08/01/2018,"£9,000.00 ",THE ESSENTIAL PARENT COMPANY LTD,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,r1001752,08/01/2018,"£23,725.98 ",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,x1015045,08/01/2018,"£36,600.41 ",BOLTON MBC,FEES / COMMISSION,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,s1022427,09/01/2018,"£6,650.00 ",ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022436,09/01/2018,"£8,260.00 ",BROADWAY BUILDING CONTRACTORS OLDHAM LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1073118,10/01/2018,"£5,063.92 ",NORTHGATE VEHICLE HIRE LIMITED,EQUIPMENT - GENERAL,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1073121,10/01/2018,"£5,288.00 ",EMO OIL LIMITED,OIL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001846,10/01/2018,"£100,000.00 ",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1073166,11/01/2018,"£5,000.00 ",LANES GROUP PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073173,11/01/2018,"£7,526.53 ",VODAFONE LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1073174,11/01/2018,"£27,786.24 ",AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1073196,11/01/2018,"£5,500.00 ",ROCHDALE AND DISTRICT DISABLED ACTION GRP,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073197,11/01/2018,"£166,037.36 ",PROCESSFLOWS UK LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1073202,11/01/2018,"£47,676.52 ",CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025088,11/01/2018,"£193,042.90 ",AXIOM EDUCATION ROCHDALE LIMITED,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025089,11/01/2018,"£338,708.43 ",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025095,11/01/2018,"£408,612.67 ",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006141,11/01/2018,"£5,796.51 ",HSBC MERCHANT SERVICES,BANK CHARGES,RESOURCES
Rochdale Borough Council,s1022451,11/01/2018,"£31,900.00 ",HIGH BARN CONSTRUCTION LIMITED,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
